,Time(s),D-i(mm),D-f(mm),D(mm),Spin,Vel(mm/s)
0,14.162929156000246,0.0,4.9,4.9,h,0.3459736291856034
0,15.609558727999683,4.9,0.0,4.9,l,0.31391021907689254
0,17.758727289000035,0.0,0.0,0.0,l,0.0
0,27.44754746100034,0.0,7.45,7.45,h,0.2714268009039989
0,28.034317526999985,0.0,0.0,0.0,l,0.0
0,51.738447411999914,0.0,11.7,11.7,h,0.22613743908531683
0,52.80411701399953,0.0,0.0,0.0,l,0.0
0,64.80188054399969,0.0,14.0,14.0,h,0.21604311298487966
