,Time(s),D-i(mm),D-f(mm),D(mm),Spin,Vel(mm/s)
0,0.4464928669985966,0.0,0.0,0.0,h,0.0
0,9.487260363999667,0.0,0.0,0.0,l,0.0
0,15.35685204100082,0.0,5.0,5.0,h,0.3255875609565452
0,18.263180269999793,0.0,0.0,0.0,l,0.0
0,30.096509577999313,0.0,8.1,8.1,h,0.2691341990674273
0,31.67662978699991,0.0,0.0,0.0,l,0.0
0,45.23237559399968,0.0,11.35,11.35,h,0.2509264625381657
0,47.14117993999935,0.0,0.0,0.0,l,0.0
0,60.034284626000954,0.0,14.2,14.2,h,0.2365315100939831
